epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,116.304,0.84219,1.58919,0.75331,0.00028,0.08557,0.00054,0.00015,0.82741,1.51134,1.16656,3.31349e-05,3.31349e-05,0.0668982
2,226.425,0.52578,1.63308,0.44106,0.0139,0.27593,0.00875,0.0055,0.45282,2.10981,0.54057,6.58102e-05,6.58102e-05,0.0335976
3,336.981,0.43099,1.75331,0.37413,0.00588,0.40147,0.01175,0.00752,0.35589,2.17958,0.41044,9.78255e-05,9.78255e-05,0.000296238
4,447.237,0.4046,1.74842,0.34573,0.01002,0.55643,0.02052,0.01278,0.33641,2.1045,0.3807,9.703e-05,9.703e-05,9.703e-05
5,557.584,0.38266,1.70208,0.32342,0.15284,0.4336,0.03713,0.02181,0.31351,2.02739,0.34812,9.604e-05,9.604e-05,9.604e-05
6,667.795,0.35662,1.65703,0.29824,0.16713,0.29975,0.04569,0.02924,0.3011,1.85862,0.33303,9.505e-05,9.505e-05,9.505e-05
7,778.561,0.3432,1.60562,0.28983,0.1877,0.29122,0.05682,0.03802,0.28858,1.79473,0.3158,9.406e-05,9.406e-05,9.406e-05
8,889.036,0.32349,1.56194,0.27438,0.05434,0.35391,0.05905,0.04036,0.28424,1.71286,0.31347,9.307e-05,9.307e-05,9.307e-05
9,999.542,0.32092,1.50982,0.26532,0.05642,0.45583,0.0673,0.04539,0.26465,1.68649,0.28631,9.208e-05,9.208e-05,9.208e-05
10,1109.95,0.31816,1.47845,0.2629,0.0629,0.43187,0.0774,0.05147,0.28064,1.69647,0.29385,9.109e-05,9.109e-05,9.109e-05
11,1220.21,0.30193,1.45809,0.24796,0.07771,0.38558,0.08127,0.05849,0.26491,1.57029,0.28407,9.01e-05,9.01e-05,9.01e-05
12,1330.86,0.29055,1.42372,0.23875,0.08491,0.41148,0.09101,0.0655,0.24561,1.61813,0.25964,8.911e-05,8.911e-05,8.911e-05
13,1441.2,0.28997,1.39611,0.23017,0.08937,0.44037,0.10377,0.07514,0.25484,1.49863,0.27133,8.812e-05,8.812e-05,8.812e-05
14,1551.92,0.28008,1.35508,0.22094,0.14771,0.44674,0.12147,0.08874,0.23841,1.46486,0.25074,8.713e-05,8.713e-05,8.713e-05
15,1662.42,0.28227,1.31372,0.22381,0.2151,0.45276,0.22678,0.16688,0.26057,1.37837,0.27358,8.614e-05,8.614e-05,8.614e-05
16,1773.04,0.31797,1.042,0.27292,0.50857,0.57025,0.50279,0.37121,0.30533,1.05745,0.36283,8.515e-05,8.515e-05,8.515e-05
17,1883.8,0.33769,0.88476,0.30683,0.59539,0.6558,0.61987,0.452,0.29805,0.95529,0.35816,8.416e-05,8.416e-05,8.416e-05
18,1994.3,0.33857,0.83354,0.30583,0.65809,0.66258,0.66613,0.48458,0.31441,0.83256,0.39054,8.317e-05,8.317e-05,8.317e-05
19,2105.13,0.33176,0.79111,0.30008,0.75351,0.60965,0.65964,0.48428,0.30023,0.88675,0.3609,8.218e-05,8.218e-05,8.218e-05
20,2215.48,0.32648,0.80418,0.29764,0.68863,0.68717,0.6743,0.50126,0.29866,0.84785,0.36588,8.119e-05,8.119e-05,8.119e-05
21,2326.3,0.32775,0.77279,0.30184,0.72547,0.70428,0.71796,0.52607,0.2987,0.78259,0.37639,8.02e-05,8.02e-05,8.02e-05
