epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.0771,1.6528,2.9759,1.87212,0.00149,0.08243,0.00032,6e-05,3.6447,124.478,8.77774,0.00329365,0.00329365,0.0703571
2,93.9601,1.751,2.70771,1.97245,0.02645,0.18439,0.02092,0.00804,2.47352,28.9478,3.53216,0.00656138,0.00656138,0.0402915
3,126.541,1.73673,2.65303,1.95046,0.71818,0.02847,0.04787,0.02655,2.42685,52.6987,3.13178,0.0097631,0.0097631,0.0101599
4,159.052,1.69346,2.57916,1.9038,0.03982,0.09417,0.00775,0.00238,3.03431,19.0088,3.72356,0.009703,0.009703,0.009703
5,189.577,1.65947,2.49216,1.88585,0.18788,0.16495,0.04457,0.02106,2.30121,5.30866,2.86107,0.009604,0.009604,0.009604
6,219.876,1.56752,2.4087,1.82458,0.47983,0.22854,0.20283,0.09492,1.98225,3.46358,2.44354,0.009505,0.009505,0.009505
7,251.269,1.55619,2.32526,1.80644,0.26572,0.30933,0.24139,0.10995,1.87189,3.20664,2.28104,0.009406,0.009406,0.009406
8,282.031,1.54735,2.30424,1.80529,0.26964,0.36668,0.22776,0.1065,2.05107,3.64786,2.3437,0.009307,0.009307,0.009307
9,312.723,1.52995,2.24699,1.77533,0.29033,0.37112,0.26709,0.12598,1.87043,2.83678,2.19476,0.009208,0.009208,0.009208
10,351.421,1.48383,2.20309,1.75581,0.58669,0.25049,0.28603,0.13221,1.83466,2.96618,2.12218,0.009109,0.009109,0.009109
11,389.018,1.48112,2.18533,1.74828,0.40869,0.40091,0.37025,0.18563,1.7026,2.62404,2.01177,0.00901,0.00901,0.00901
12,420.101,1.43584,2.09001,1.71717,0.43838,0.43951,0.43601,0.24188,1.58937,2.23123,1.93378,0.008911,0.008911,0.008911
13,451.335,1.44426,2.11291,1.72532,0.33292,0.31006,0.25433,0.12413,1.84507,2.77799,2.18254,0.008812,0.008812,0.008812
14,483.145,1.40065,2.00111,1.67968,0.51993,0.40473,0.40745,0.21805,1.64736,2.63248,1.97046,0.008713,0.008713,0.008713
15,513.73,1.40193,2.00008,1.68643,0.47515,0.2654,0.28369,0.14081,2.14071,3.40633,2.47258,0.008614,0.008614,0.008614
