epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,69.4743,1.28647,3.60917,0.02026,0.07028,0.4619,0.072,0.03997,1.45348,4.24329,0.03224,0.000329365,0.000329365,0.0673929
2,105.912,1.26451,2.83673,0.01996,0.46497,0.32051,0.29471,0.16472,1.4751,2.76904,0.03442,0.000656138,0.000656138,0.0343863
3,141.589,1.25145,2.4776,0.02039,0.4518,0.4145,0.38317,0.22409,1.42167,2.45142,0.03407,0.00097631,0.00097631,0.00137314
4,177.564,1.24468,2.23782,0.02038,0.55087,0.51485,0.53613,0.35032,1.23297,2.00507,0.02746,0.0009703,0.0009703,0.0009703
5,214.817,1.1982,2.09033,0.01935,0.55283,0.50808,0.51509,0.30207,1.35025,2.13104,0.03015,0.0009604,0.0009604,0.0009604
6,251.983,1.19195,1.98445,0.01939,0.62203,0.49865,0.55795,0.36161,1.27202,1.90689,0.02816,0.0009505,0.0009505,0.0009505
7,287.97,1.18269,1.89858,0.01907,0.64907,0.59548,0.65278,0.41558,1.26128,1.61114,0.02799,0.0009406,0.0009406,0.0009406
8,323.997,1.17849,1.83111,0.01887,0.698,0.58496,0.65894,0.44361,1.20172,1.60656,0.02712,0.0009307,0.0009307,0.0009307
9,361.777,1.16799,1.74006,0.01866,0.69166,0.58888,0.65768,0.44475,1.19359,1.56874,0.02653,0.0009208,0.0009208,0.0009208
10,397.696,1.14809,1.68001,0.01847,0.7083,0.61419,0.68851,0.47384,1.19551,1.47191,0.02682,0.0009109,0.0009109,0.0009109
11,433.48,1.14582,1.6478,0.01846,0.74458,0.62808,0.70053,0.47761,1.17855,1.41887,0.02604,0.000901,0.000901,0.000901
12,469.979,1.14826,1.61617,0.01843,0.72701,0.63224,0.71736,0.48291,1.16739,1.42305,0.0255,0.0008911,0.0008911,0.0008911
13,508.429,1.12702,1.52934,0.01797,0.75626,0.68609,0.75689,0.52705,1.15148,1.2732,0.02565,0.0008812,0.0008812,0.0008812
14,545.244,1.12118,1.50222,0.01777,0.78447,0.68867,0.76244,0.53502,1.13595,1.20191,0.02448,0.0008713,0.0008713,0.0008713
15,581.358,1.10301,1.49418,0.01771,0.77372,0.6633,0.75628,0.53103,1.11138,1.24048,0.02403,0.0008614,0.0008614,0.0008614
16,619.294,1.09254,1.45866,0.01719,0.79981,0.65484,0.7698,0.53964,1.14874,1.17132,0.02456,0.0008515,0.0008515,0.0008515
17,656.074,1.08804,1.43826,0.01742,0.8158,0.66988,0.77322,0.55215,1.10122,1.19983,0.0241,0.0008416,0.0008416,0.0008416
18,692.434,1.08342,1.42109,0.01722,0.78101,0.68124,0.763,0.52646,1.13885,1.20671,0.02468,0.0008317,0.0008317,0.0008317
19,728.9,1.06781,1.3723,0.01692,0.75397,0.68396,0.75619,0.52962,1.13755,1.26014,0.02468,0.0008218,0.0008218,0.0008218
20,766.797,1.06445,1.40583,0.0168,0.78005,0.71258,0.79028,0.5453,1.13534,1.12824,0.02417,0.0008119,0.0008119,0.0008119
21,801.99,1.06572,1.36427,0.01682,0.8469,0.72477,0.81828,0.57435,1.10125,1.05284,0.02381,0.000802,0.000802,0.000802
22,838.225,1.07853,1.32454,0.01681,0.83104,0.71271,0.80055,0.55996,1.11241,1.07636,0.02411,0.0007921,0.0007921,0.0007921
23,874.54,1.06784,1.33726,0.01709,0.83704,0.69766,0.79649,0.55372,1.14595,1.09276,0.02486,0.0007822,0.0007822,0.0007822
24,911.743,1.04225,1.30805,0.01636,0.82712,0.72592,0.81113,0.58205,1.0892,1.04739,0.02366,0.0007723,0.0007723,0.0007723
25,947.042,1.06645,1.29479,0.01679,0.82448,0.69471,0.80145,0.57392,1.07379,1.07796,0.02316,0.0007624,0.0007624,0.0007624
26,982.408,1.03559,1.25174,0.01629,0.81239,0.72976,0.81015,0.59324,1.04756,1.00961,0.02212,0.0007525,0.0007525,0.0007525
27,1017.89,1.03711,1.26766,0.0163,0.80277,0.7739,0.82208,0.59016,1.08254,0.97519,0.0229,0.0007426,0.0007426,0.0007426
28,1055.62,1.02999,1.25638,0.01614,0.8072,0.75621,0.82615,0.6,1.06923,0.95567,0.02283,0.0007327,0.0007327,0.0007327
29,1091.73,1.04054,1.23025,0.01636,0.82789,0.73843,0.82636,0.60309,1.03329,0.99669,0.02244,0.0007228,0.0007228,0.0007228
30,1127.29,1.02063,1.22838,0.01587,0.83699,0.76231,0.83496,0.61474,1.03162,0.92533,0.02197,0.0007129,0.0007129,0.0007129
31,1165.1,1.02957,1.18278,0.01588,0.83862,0.74718,0.83296,0.60689,1.05281,0.94509,0.0229,0.000703,0.000703,0.000703
32,1200.63,1.02263,1.1912,0.01622,0.83912,0.74437,0.83171,0.61578,1.02426,0.95631,0.02156,0.0006931,0.0006931,0.0006931
33,1236.45,1.00357,1.18441,0.01556,0.82092,0.7643,0.83871,0.61356,1.03499,0.93956,0.02186,0.0006832,0.0006832,0.0006832
34,1273.78,1.00494,1.16948,0.01577,0.83189,0.77069,0.83685,0.62186,1.00411,0.92798,0.02108,0.0006733,0.0006733,0.0006733
35,1310.41,1.01033,1.14984,0.01569,0.83546,0.77274,0.84617,0.62027,1.02913,0.89745,0.02196,0.0006634,0.0006634,0.0006634
36,1345.71,0.99651,1.13187,0.01548,0.87409,0.76453,0.85667,0.624,1.02981,0.87715,0.02185,0.0006535,0.0006535,0.0006535
37,1381.39,0.98313,1.10977,0.01518,0.86862,0.76836,0.85581,0.63045,1.0181,0.88055,0.02132,0.0006436,0.0006436,0.0006436
38,1419.03,0.9741,1.0975,0.01487,0.82289,0.77995,0.84799,0.62295,1.02355,0.89437,0.02167,0.0006337,0.0006337,0.0006337
39,1454.18,0.98305,1.10814,0.01529,0.85607,0.78077,0.85319,0.62413,1.01916,0.87859,0.02202,0.0006238,0.0006238,0.0006238
40,1489.57,0.96794,1.07535,0.01495,0.86888,0.76716,0.85576,0.62886,1.00017,0.85426,0.02108,0.0006139,0.0006139,0.0006139
