epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2081,3.05768,4.54633,0.05975,0.00038,0.07144,0.00014,3e-05,3.1616,5.17932,0.08483,0.000329365,0.000329365,0.0673929
2,63.3592,2.36719,3.83289,0.04333,0.04472,0.32143,0.01137,0.00321,2.47344,4.59884,0.06182,0.000656138,0.000656138,0.0343863
3,95.1974,2.05291,3.40345,0.03665,0.33862,0.09825,0.05598,0.01917,2.07135,3.96631,0.04938,0.00097631,0.00097631,0.00137314
4,127.443,1.89174,3.18583,0.03308,0.32649,0.15348,0.12837,0.04666,2.01838,3.43315,0.04819,0.0009703,0.0009703,0.0009703
5,159.907,1.78105,3.02194,0.03047,0.44477,0.14285,0.10491,0.0441,1.96576,3.40722,0.04776,0.0009604,0.0009604,0.0009604
6,190.681,1.72344,2.9357,0.02924,0.35438,0.25561,0.23586,0.10084,1.9518,3.0125,0.0459,0.0009505,0.0009505,0.0009505
7,222.18,1.69355,2.83164,0.02898,0.28508,0.25087,0.20914,0.09173,1.89047,2.85923,0.0448,0.0009406,0.0009406,0.0009406
8,253.273,1.67154,2.74209,0.0282,0.37987,0.29918,0.30234,0.1415,1.78659,2.71248,0.04204,0.0009307,0.0009307,0.0009307
9,284.732,1.63643,2.66578,0.02749,0.55643,0.29017,0.27623,0.13545,1.79507,2.77073,0.04257,0.0009208,0.0009208,0.0009208
10,316.544,1.61212,2.58823,0.02738,0.39009,0.37253,0.36277,0.17539,1.72474,2.51536,0.04035,0.0009109,0.0009109,0.0009109
11,348.485,1.59149,2.51045,0.02689,0.42332,0.35218,0.3549,0.17253,1.68774,2.54705,0.03901,0.000901,0.000901,0.000901
12,381.844,1.58671,2.47226,0.02673,0.36891,0.38217,0.33383,0.15529,1.83356,2.46354,0.04263,0.0008911,0.0008911,0.0008911
13,417.162,1.56008,2.38931,0.02605,0.4212,0.44099,0.42714,0.2186,1.67084,2.26256,0.0385,0.0008812,0.0008812,0.0008812
14,452.5,1.54361,2.33301,0.02558,0.46736,0.43088,0.43805,0.23061,1.67937,2.13614,0.03838,0.0008713,0.0008713,0.0008713
15,487.645,1.54111,2.31016,0.02604,0.4688,0.45018,0.46194,0.2526,1.61017,2.13813,0.03727,0.0008614,0.0008614,0.0008614
16,524.981,1.52122,2.24844,0.02519,0.55056,0.4253,0.4849,0.25843,1.6252,2.14898,0.03698,0.0008515,0.0008515,0.0008515
17,559.331,1.50259,2.20861,0.02524,0.5409,0.43854,0.48733,0.254,1.67572,2.1172,0.03833,0.0008416,0.0008416,0.0008416
18,592.98,1.50063,2.18313,0.02498,0.46381,0.41717,0.41324,0.20135,1.77662,2.61869,0.04101,0.0008317,0.0008317,0.0008317
19,627.493,1.48201,2.12276,0.02482,0.50753,0.48566,0.5104,0.26878,1.6366,1.97061,0.03805,0.0008218,0.0008218,0.0008218
20,662.429,1.48605,2.11772,0.0247,0.64762,0.45528,0.51933,0.28027,1.60532,1.97667,0.03702,0.0008119,0.0008119,0.0008119
21,696.881,1.47901,2.06453,0.02481,0.55901,0.51005,0.53441,0.29236,1.60615,1.94726,0.0376,0.000802,0.000802,0.000802
22,730.896,1.4779,2.0527,0.02441,0.68073,0.49476,0.56833,0.31464,1.5739,1.86168,0.03604,0.0007921,0.0007921,0.0007921
23,766.161,1.45753,2.03552,0.0244,0.68541,0.52644,0.57886,0.33393,1.54895,1.85442,0.03544,0.0007822,0.0007822,0.0007822
24,800.071,1.42075,1.98086,0.02348,0.58016,0.52993,0.5689,0.31433,1.57791,1.80817,0.03655,0.0007723,0.0007723,0.0007723
25,833.46,1.42327,1.9899,0.02367,0.62895,0.52176,0.58246,0.3419,1.49601,1.77836,0.03394,0.0007624,0.0007624,0.0007624
26,867.474,1.4116,1.90664,0.02346,0.64997,0.51626,0.59379,0.34854,1.482,1.7273,0.0341,0.0007525,0.0007525,0.0007525
27,903.029,1.41715,1.92383,0.0234,0.60355,0.53218,0.59038,0.33284,1.57441,1.74999,0.03603,0.0007426,0.0007426,0.0007426
28,937.123,1.40419,1.9138,0.02316,0.64792,0.54857,0.60554,0.33816,1.62678,1.71886,0.038,0.0007327,0.0007327,0.0007327
29,970.567,1.40377,1.88448,0.02308,0.62083,0.59535,0.63931,0.37337,1.48389,1.61192,0.03378,0.0007228,0.0007228,0.0007228
30,1004.73,1.38561,1.85941,0.02272,0.63579,0.59307,0.64346,0.38696,1.42573,1.61621,0.03195,0.0007129,0.0007129,0.0007129
31,1039.16,1.36637,1.83334,0.0221,0.63337,0.59969,0.64327,0.38678,1.46225,1.60161,0.0329,0.000703,0.000703,0.000703
32,1073.74,1.37792,1.82722,0.02296,0.6672,0.59541,0.66087,0.40308,1.40965,1.56364,0.03204,0.0006931,0.0006931,0.0006931
33,1107.54,1.35459,1.78955,0.02196,0.65711,0.59278,0.65398,0.39453,1.43936,1.56476,0.03196,0.0006832,0.0006832,0.0006832
34,1141.41,1.35847,1.79294,0.02248,0.62922,0.59968,0.64798,0.38794,1.4245,1.69695,0.03202,0.0006733,0.0006733,0.0006733
35,1175.25,1.36261,1.7915,0.02208,0.68407,0.61167,0.67285,0.39734,1.46581,1.54798,0.03296,0.0006634,0.0006634,0.0006634
36,1209.97,1.35554,1.74047,0.02224,0.68643,0.59155,0.66817,0.39822,1.46554,1.54445,0.03303,0.0006535,0.0006535,0.0006535
37,1243.72,1.33891,1.72216,0.02166,0.72855,0.59341,0.68311,0.42556,1.3867,1.46342,0.03109,0.0006436,0.0006436,0.0006436
38,1277.24,1.33147,1.6974,0.02134,0.71687,0.61185,0.69469,0.42985,1.41684,1.44066,0.03165,0.0006337,0.0006337,0.0006337
39,1310.61,1.34303,1.71547,0.02208,0.69384,0.6376,0.69271,0.42382,1.41362,1.42027,0.03192,0.0006238,0.0006238,0.0006238
40,1345.3,1.31445,1.65909,0.02143,0.71845,0.60992,0.69195,0.44197,1.35833,1.43992,0.0306,0.0006139,0.0006139,0.0006139
41,1378.78,1.29754,1.63925,0.02126,0.71838,0.65189,0.71187,0.42695,1.42358,1.41283,0.03206,0.000604,0.000604,0.000604
42,1412.28,1.31741,1.6473,0.0213,0.68374,0.64103,0.70358,0.44356,1.37471,1.39488,0.03137,0.0005941,0.0005941,0.0005941
43,1445.55,1.2898,1.65327,0.02096,0.73675,0.62942,0.72001,0.45391,1.31642,1.36492,0.02894,0.0005842,0.0005842,0.0005842
44,1479.77,1.27646,1.61518,0.0209,0.66457,0.6727,0.71637,0.45725,1.36077,1.35745,0.03015,0.0005743,0.0005743,0.0005743
45,1514.41,1.30013,1.61385,0.02102,0.67964,0.65542,0.70706,0.44857,1.36473,1.38604,0.03028,0.0005644,0.0005644,0.0005644
46,1547.56,1.30361,1.59791,0.0213,0.7639,0.63674,0.7169,0.45266,1.33583,1.37208,0.02951,0.0005545,0.0005545,0.0005545
47,1581.09,1.27606,1.58461,0.02057,0.72557,0.64588,0.7222,0.45689,1.36274,1.36181,0.03038,0.0005446,0.0005446,0.0005446
48,1614.84,1.27283,1.58071,0.02052,0.73235,0.65293,0.72564,0.47205,1.30706,1.34293,0.0286,0.0005347,0.0005347,0.0005347
49,1649.72,1.26719,1.54687,0.02059,0.76209,0.68113,0.73857,0.46366,1.37617,1.2913,0.03043,0.0005248,0.0005248,0.0005248
50,1682.22,1.25313,1.53899,0.02013,0.68792,0.69341,0.73066,0.46871,1.30839,1.33062,0.02864,0.0005149,0.0005149,0.0005149
51,1714.79,1.25413,1.53217,0.02064,0.69556,0.68155,0.73264,0.46045,1.38484,1.28952,0.03082,0.000505,0.000505,0.000505
52,1746.42,1.25252,1.52962,0.02014,0.70414,0.7047,0.7453,0.49247,1.28291,1.26712,0.02783,0.0004951,0.0004951,0.0004951
53,1779.09,1.24922,1.49835,0.02033,0.72377,0.68668,0.7395,0.4623,1.3815,1.32676,0.03062,0.0004852,0.0004852,0.0004852
54,1812.39,1.24946,1.50424,0.01998,0.75951,0.68526,0.76024,0.49264,1.30485,1.23482,0.02849,0.0004753,0.0004753,0.0004753
55,1846.16,1.2424,1.48472,0.01969,0.74015,0.68913,0.74931,0.48697,1.28727,1.27112,0.02812,0.0004654,0.0004654,0.0004654
56,1878.56,1.24949,1.50657,0.02019,0.79262,0.66334,0.75269,0.49205,1.31697,1.23893,0.02864,0.0004555,0.0004555,0.0004555
57,1911.07,1.23161,1.48454,0.01934,0.69107,0.69348,0.73948,0.48298,1.30955,1.24611,0.02926,0.0004456,0.0004456,0.0004456
58,1943.42,1.21139,1.45404,0.01927,0.76006,0.69115,0.76094,0.50544,1.27715,1.18069,0.02815,0.0004357,0.0004357,0.0004357
59,1976.55,1.22325,1.4667,0.01956,0.73803,0.68907,0.75552,0.48761,1.3237,1.2378,0.02939,0.0004258,0.0004258,0.0004258
60,2009.36,1.20871,1.43719,0.01932,0.76144,0.68518,0.75182,0.50819,1.24233,1.22621,0.0273,0.0004159,0.0004159,0.0004159
61,2043.45,1.19874,1.43039,0.01912,0.78944,0.70141,0.77284,0.50931,1.28056,1.18309,0.02812,0.000406,0.000406,0.000406
62,2076.45,1.23015,1.4309,0.01947,0.73174,0.69389,0.75296,0.50615,1.26849,1.20377,0.0276,0.0003961,0.0003961,0.0003961
63,2108.1,1.19004,1.41133,0.01869,0.78332,0.68963,0.76742,0.51383,1.24936,1.16713,0.02736,0.0003862,0.0003862,0.0003862
64,2139.97,1.1854,1.39752,0.01896,0.74474,0.73091,0.7738,0.52076,1.2432,1.16307,0.02686,0.0003763,0.0003763,0.0003763
65,2174.36,1.18961,1.38887,0.01866,0.81137,0.69574,0.78734,0.53507,1.20634,1.13034,0.02621,0.0003664,0.0003664,0.0003664
66,2208.62,1.16894,1.35296,0.01831,0.741,0.7217,0.78488,0.52387,1.24443,1.14272,0.02696,0.0003565,0.0003565,0.0003565
