epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5044,1.42116,3.90204,0.02398,0.06834,0.27827,0.0354,0.01648,1.86796,4.67318,0.0433,0.000329365,0.000329365,0.0673929
2,64.7997,1.29648,3.0073,0.02079,0.36612,0.25549,0.18533,0.09917,1.42142,3.28486,0.03179,0.000656138,0.000656138,0.0343863
3,97.6594,1.25738,2.63732,0.02055,0.40353,0.32924,0.30444,0.18036,1.29279,2.91853,0.02886,0.00097631,0.00097631,0.00137314
4,129.686,1.25636,2.44915,0.02057,0.42264,0.38659,0.38393,0.21102,1.34957,2.43136,0.02999,0.0009703,0.0009703,0.0009703
5,162.001,1.24538,2.26868,0.02041,0.51703,0.44935,0.45466,0.27346,1.3067,2.15474,0.02939,0.0009604,0.0009604,0.0009604
6,194.065,1.21255,2.15091,0.01994,0.47174,0.48551,0.47309,0.29942,1.30319,2.00491,0.0296,0.0009505,0.0009505,0.0009505
7,226.234,1.2211,2.0806,0.0202,0.46108,0.46364,0.43222,0.23588,1.48139,2.13655,0.03481,0.0009406,0.0009406,0.0009406
8,257.515,1.21905,1.98539,0.01998,0.55415,0.54134,0.56676,0.34588,1.31019,1.80901,0.03022,0.0009307,0.0009307,0.0009307
9,289.527,1.21513,1.90493,0.01988,0.56634,0.5345,0.55766,0.33978,1.32542,1.77373,0.03059,0.0009208,0.0009208,0.0009208
10,321.881,1.18143,1.86844,0.01953,0.59706,0.57101,0.61467,0.39802,1.27534,1.68812,0.02923,0.0009109,0.0009109,0.0009109
11,354.37,1.17356,1.80282,0.01933,0.61413,0.5821,0.63445,0.39485,1.29926,1.6703,0.02933,0.000901,0.000901,0.000901
12,387.341,1.18696,1.76094,0.01955,0.63918,0.57196,0.6277,0.39083,1.30952,1.69168,0.03034,0.0008911,0.0008911,0.0008911
13,420.276,1.15704,1.69977,0.01892,0.63497,0.62712,0.67658,0.43859,1.24427,1.48578,0.02765,0.0008812,0.0008812,0.0008812
14,452.41,1.13748,1.66664,0.01833,0.69119,0.62336,0.6899,0.45174,1.24051,1.44736,0.02732,0.0008713,0.0008713,0.0008713
15,485.101,1.13006,1.63174,0.01857,0.73815,0.6236,0.70003,0.43755,1.31596,1.4636,0.03036,0.0008614,0.0008614,0.0008614
16,517.53,1.13117,1.58887,0.01811,0.71576,0.6385,0.72076,0.48058,1.21942,1.33471,0.02721,0.0008515,0.0008515,0.0008515
17,549.695,1.10958,1.57692,0.01805,0.70655,0.69681,0.74015,0.47615,1.2511,1.30168,0.02885,0.0008416,0.0008416,0.0008416
18,580.847,1.11796,1.55151,0.01811,0.68137,0.69765,0.73063,0.48948,1.20405,1.29287,0.02697,0.0008317,0.0008317,0.0008317
19,612.801,1.10418,1.49019,0.01796,0.69592,0.68913,0.73213,0.48708,1.20605,1.28863,0.02673,0.0008218,0.0008218,0.0008218
20,644.628,1.11617,1.50146,0.01799,0.76026,0.69075,0.77217,0.5039,1.19025,1.19022,0.02594,0.0008119,0.0008119,0.0008119
21,676.961,1.09843,1.45832,0.01788,0.74423,0.68941,0.7661,0.51533,1.18701,1.21068,0.02611,0.000802,0.000802,0.000802
22,711.124,1.11622,1.43127,0.01779,0.76721,0.72345,0.78519,0.52992,1.16088,1.17857,0.02531,0.0007921,0.0007921,0.0007921
23,745.015,1.09454,1.43,0.01773,0.78178,0.71138,0.77971,0.53222,1.16962,1.16488,0.02542,0.0007822,0.0007822,0.0007822
24,780.176,1.06323,1.39339,0.01699,0.76751,0.69573,0.77029,0.51282,1.16241,1.19039,0.02563,0.0007723,0.0007723,0.0007723
25,814.473,1.08214,1.38994,0.01735,0.74478,0.71012,0.77908,0.52647,1.15382,1.13086,0.02529,0.0007624,0.0007624,0.0007624
26,849.554,1.05758,1.33148,0.01699,0.77268,0.67927,0.77873,0.53501,1.13944,1.11996,0.02529,0.0007525,0.0007525,0.0007525
27,883.472,1.0763,1.35407,0.01743,0.75522,0.70423,0.7757,0.52349,1.17903,1.1598,0.02596,0.0007426,0.0007426,0.0007426
28,917.01,1.05242,1.34987,0.01683,0.78162,0.70304,0.78542,0.52936,1.16384,1.10763,0.02573,0.0007327,0.0007327,0.0007327
29,951.495,1.06912,1.31532,0.0171,0.74212,0.74383,0.79455,0.55748,1.14394,1.09671,0.02503,0.0007228,0.0007228,0.0007228
30,986.715,1.05444,1.30598,0.0167,0.75032,0.73693,0.79858,0.56008,1.10606,1.08306,0.02416,0.0007129,0.0007129,0.0007129
31,1020.34,1.0564,1.28612,0.01662,0.78181,0.74946,0.82037,0.56399,1.14426,1.02999,0.02521,0.000703,0.000703,0.000703
32,1053.86,1.05115,1.28726,0.01717,0.7736,0.73001,0.80309,0.56756,1.09412,1.02754,0.02383,0.0006931,0.0006931,0.0006931
33,1089.18,1.03165,1.25327,0.01633,0.75817,0.76619,0.81201,0.56405,1.10252,1.03372,0.02412,0.0006832,0.0006832,0.0006832
34,1122.7,1.03809,1.25822,0.01677,0.80533,0.72755,0.80943,0.56303,1.09932,1.05452,0.02402,0.0006733,0.0006733,0.0006733
35,1155.89,1.03212,1.2458,0.01632,0.82384,0.73646,0.81194,0.57237,1.09846,1.01859,0.02385,0.0006634,0.0006634,0.0006634
36,1189,1.0116,1.20896,0.016,0.80674,0.73931,0.81838,0.57857,1.08702,1.00476,0.02401,0.0006535,0.0006535,0.0006535
37,1223.04,1.01457,1.18791,0.01606,0.8011,0.76872,0.83199,0.57804,1.14245,1.00354,0.02502,0.0006436,0.0006436,0.0006436
38,1256.43,1.008,1.1792,0.01567,0.81549,0.73986,0.82328,0.56966,1.12834,1.00432,0.02455,0.0006337,0.0006337,0.0006337
39,1289.04,1.00724,1.19281,0.01594,0.78118,0.78008,0.8348,0.57913,1.10379,0.96383,0.02422,0.0006238,0.0006238,0.0006238
40,1322.33,0.99917,1.15705,0.01571,0.81177,0.77487,0.83719,0.58963,1.08092,0.9406,0.02316,0.0006139,0.0006139,0.0006139
41,1355.41,1.00414,1.1422,0.01603,0.83751,0.74615,0.83328,0.59735,1.07795,0.93028,0.02297,0.000604,0.000604,0.000604
42,1389.61,0.99854,1.14884,0.01563,0.8272,0.75093,0.82893,0.59327,1.08281,0.9651,0.02373,0.0005941,0.0005941,0.0005941
43,1422.77,0.98295,1.13973,0.01559,0.84931,0.76176,0.85053,0.60829,1.05873,0.8834,0.02254,0.0005842,0.0005842,0.0005842
44,1455.53,0.97741,1.1161,0.01556,0.82787,0.78652,0.84603,0.60051,1.07629,0.92376,0.02333,0.0005743,0.0005743,0.0005743
45,1487.84,0.98009,1.11462,0.0154,0.81279,0.76226,0.83447,0.59117,1.09738,0.9449,0.02382,0.0005644,0.0005644,0.0005644
46,1520.2,0.98703,1.13299,0.01567,0.84952,0.75641,0.84536,0.60373,1.05946,0.9186,0.02248,0.0005545,0.0005545,0.0005545
47,1553.69,0.9671,1.09989,0.01518,0.8084,0.78551,0.84719,0.61118,1.04418,0.91756,0.02241,0.0005446,0.0005446,0.0005446
48,1587.58,0.96034,1.07055,0.01504,0.85572,0.74679,0.84272,0.60129,1.08779,0.92084,0.02356,0.0005347,0.0005347,0.0005347
49,1619.81,0.97675,1.06683,0.01538,0.80089,0.78798,0.82948,0.60396,1.04441,0.9026,0.02247,0.0005248,0.0005248,0.0005248
50,1652.91,0.95909,1.05343,0.01499,0.84339,0.78191,0.85508,0.61247,1.05325,0.89616,0.02242,0.0005149,0.0005149,0.0005149
51,1686.77,0.95015,1.04641,0.01514,0.84587,0.77881,0.84686,0.60927,1.04637,0.9215,0.02257,0.000505,0.000505,0.000505
52,1722.23,0.94772,1.05142,0.01486,0.85542,0.79165,0.85906,0.62215,1.01371,0.88533,0.02142,0.0004951,0.0004951,0.0004951
53,1755.65,0.94624,1.04459,0.01494,0.85903,0.76602,0.8592,0.62098,1.03216,0.86766,0.02214,0.0004852,0.0004852,0.0004852
54,1788.45,0.9503,1.01505,0.0147,0.85425,0.78911,0.8716,0.62281,1.0434,0.84235,0.0223,0.0004753,0.0004753,0.0004753
55,1821.28,0.93323,1.01492,0.01445,0.87208,0.7581,0.84758,0.62393,1.01904,0.8323,0.02193,0.0004654,0.0004654,0.0004654
56,1855,0.9489,1.02631,0.01494,0.87101,0.77356,0.85922,0.62992,1.01746,0.84811,0.0219,0.0004555,0.0004555,0.0004555
57,1889.16,0.93878,1.00909,0.01434,0.87689,0.79044,0.86574,0.63174,1.01699,0.83572,0.02169,0.0004456,0.0004456,0.0004456
58,1922.26,0.92689,0.98925,0.01434,0.86129,0.80717,0.87197,0.63375,1.02627,0.82741,0.02221,0.0004357,0.0004357,0.0004357
59,1956.23,0.93666,0.99442,0.01454,0.85485,0.81746,0.87093,0.63266,1.01206,0.80626,0.02146,0.0004258,0.0004258,0.0004258
60,1989.16,0.91609,0.97523,0.01417,0.82929,0.81196,0.86784,0.63441,1.01517,0.811,0.02177,0.0004159,0.0004159,0.0004159
61,2023.71,0.91558,0.99792,0.01414,0.84976,0.80162,0.86762,0.63402,1.02957,0.82379,0.02178,0.000406,0.000406,0.000406
62,2056.25,0.92955,0.97722,0.01431,0.86718,0.8025,0.88036,0.64316,1.02493,0.79703,0.02185,0.0003961,0.0003961,0.0003961
63,2089.72,0.90699,0.96064,0.01393,0.85991,0.80541,0.8737,0.64225,1.01389,0.80882,0.02153,0.0003862,0.0003862,0.0003862
64,2122.52,0.90833,0.94888,0.01414,0.85871,0.81094,0.87029,0.64539,1.00515,0.79682,0.02146,0.0003763,0.0003763,0.0003763
65,2155.63,0.90483,0.95074,0.01376,0.8659,0.81479,0.87822,0.64461,1.01104,0.77396,0.02122,0.0003664,0.0003664,0.0003664
66,2189.67,0.8901,0.92237,0.01352,0.85552,0.83705,0.88074,0.64753,1.01337,0.76262,0.0214,0.0003565,0.0003565,0.0003565
67,2222.44,0.89997,0.94161,0.01389,0.86717,0.82099,0.87462,0.65161,0.99308,0.75318,0.02092,0.0003466,0.0003466,0.0003466
68,2255.26,0.89099,0.92588,0.01362,0.89056,0.79834,0.87502,0.65263,0.99731,0.7522,0.021,0.0003367,0.0003367,0.0003367
69,2288.2,0.90386,0.92739,0.01381,0.8647,0.82162,0.87239,0.64518,0.98453,0.78065,0.02077,0.0003268,0.0003268,0.0003268
70,2320.28,0.90031,0.92833,0.014,0.87137,0.80761,0.87353,0.64933,0.98828,0.78238,0.02111,0.0003169,0.0003169,0.0003169
71,2353.36,0.88883,0.91099,0.01385,0.8735,0.80507,0.86935,0.6506,0.98377,0.77664,0.02078,0.000307,0.000307,0.000307
72,2385.78,0.88097,0.90583,0.01369,0.87097,0.82167,0.87313,0.6506,0.99777,0.77646,0.02113,0.0002971,0.0002971,0.0002971
73,2417.55,0.88307,0.90561,0.01388,0.86907,0.82097,0.87486,0.65584,0.97747,0.76834,0.0205,0.0002872,0.0002872,0.0002872
74,2450.15,0.8886,0.91015,0.01375,0.86559,0.83146,0.87968,0.65993,0.97841,0.74892,0.0205,0.0002773,0.0002773,0.0002773
75,2482.98,0.85479,0.8821,0.01292,0.86304,0.8282,0.87452,0.65703,0.97457,0.7498,0.02047,0.0002674,0.0002674,0.0002674
76,2515.85,0.86101,0.87391,0.01309,0.871,0.81671,0.87387,0.65694,0.9709,0.777,0.02044,0.0002575,0.0002575,0.0002575
77,2549.58,0.85625,0.86851,0.01292,0.86098,0.83716,0.88098,0.66282,0.96671,0.74322,0.02011,0.0002476,0.0002476,0.0002476
78,2582.4,0.85599,0.87631,0.01309,0.8876,0.82318,0.88165,0.666,0.97021,0.74303,0.02037,0.0002377,0.0002377,0.0002377
79,2614.33,0.85877,0.87704,0.0131,0.88549,0.81178,0.87887,0.66359,0.97194,0.75434,0.02039,0.0002278,0.0002278,0.0002278
80,2646.61,0.8505,0.85102,0.01277,0.85488,0.82205,0.87961,0.65908,0.98235,0.74431,0.02071,0.0002179,0.0002179,0.0002179
81,2678.58,0.85187,0.85803,0.01295,0.87918,0.82029,0.8766,0.66042,0.96436,0.75406,0.01993,0.000208,0.000208,0.000208
82,2710.99,0.84611,0.83457,0.01289,0.86357,0.82054,0.87492,0.65618,0.99123,0.75046,0.02098,0.0001981,0.0001981,0.0001981
83,2744.51,0.83919,0.83586,0.01284,0.8826,0.81772,0.87764,0.65843,0.97256,0.75977,0.02038,0.0001882,0.0001882,0.0001882
84,2777.32,0.85181,0.86277,0.01307,0.88031,0.82933,0.88115,0.66366,0.96795,0.74579,0.02013,0.0001783,0.0001783,0.0001783
85,2809.27,0.83861,0.84011,0.01288,0.87012,0.82398,0.87971,0.66147,0.97596,0.72753,0.0205,0.0001684,0.0001684,0.0001684
86,2841.26,0.83506,0.83208,0.01279,0.86099,0.84707,0.87485,0.65713,0.97425,0.73897,0.0204,0.0001585,0.0001585,0.0001585
87,2874.1,0.84122,0.83267,0.01299,0.84991,0.83317,0.87482,0.65744,0.95951,0.74453,0.02001,0.0001486,0.0001486,0.0001486
88,2906.11,0.84482,0.82599,0.01285,0.86746,0.81779,0.8748,0.6596,0.95748,0.74006,0.01998,0.0001387,0.0001387,0.0001387
89,2938.36,0.83288,0.82293,0.01282,0.86262,0.82173,0.87618,0.65954,0.95693,0.75548,0.02005,0.0001288,0.0001288,0.0001288
90,2970.47,0.83016,0.83177,0.01267,0.87631,0.82025,0.87932,0.66273,0.95522,0.74149,0.01988,0.0001189,0.0001189,0.0001189
91,3002.77,0.84613,0.68582,0.01722,0.86787,0.81381,0.87602,0.65048,0.99186,0.77795,0.02093,0.000109,0.000109,0.000109
92,3032.59,0.82253,0.6322,0.01639,0.87464,0.81137,0.87569,0.65824,0.96414,0.75538,0.02016,9.91e-05,9.91e-05,9.91e-05
93,3061.98,0.80227,0.60321,0.01578,0.90543,0.79229,0.8769,0.65819,0.96297,0.74903,0.02005,8.92e-05,8.92e-05,8.92e-05
94,3091.44,0.78332,0.57935,0.0156,0.87625,0.81617,0.8775,0.65975,0.9614,0.75382,0.01994,7.93e-05,7.93e-05,7.93e-05
95,3120.83,0.7822,0.59736,0.01534,0.85408,0.84149,0.87749,0.6621,0.95639,0.73357,0.0198,6.94e-05,6.94e-05,6.94e-05
96,3150.35,0.77677,0.5823,0.01509,0.8847,0.82428,0.88191,0.66422,0.95075,0.72674,0.01958,5.95e-05,5.95e-05,5.95e-05
