epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0472,1.69105,3.1329,1.87848,0.00201,0.08524,0.00034,8e-05,3.91749,3613.54,23.4675,0.00325203,0.00325203,0.0707317
2,32.884,1.82845,2.93063,2.00615,7e-05,0.00564,1e-05,0,4.25964,5550.56,9.27566,0.00652017,0.00652017,0.0406665
3,47.0165,1.83399,2.88211,2.03222,0.62638,0.10922,0.00154,0.00032,4.11748,182.213,7.67594,0.00972231,0.00972231,0.0105353
4,62.6876,1.8001,2.83076,2.00905,0.0307,0.1004,0.01589,0.00657,3.17991,114.1,4.55721,0.009703,0.009703,0.009703
5,77.0765,1.72502,2.70074,1.94535,0.79594,0.0533,0.0471,0.02337,2.37456,4.97424,3.25885,0.009604,0.009604,0.009604
6,92.5799,1.69743,2.66276,1.94269,0.7983,0.05585,0.05172,0.02699,2.52873,5.92687,3.21585,0.009505,0.009505,0.009505
7,108.246,1.6519,2.59698,1.89675,0.22574,0.18364,0.09447,0.04331,2.30831,4.55357,2.72813,0.009406,0.009406,0.009406
8,123.036,1.63207,2.5384,1.87142,0.43473,0.22388,0.17697,0.08298,1.96509,3.31141,2.36965,0.009307,0.009307,0.009307
9,137.867,1.63556,2.50477,1.86515,0.32655,0.28396,0.1734,0.06874,2.02327,3.60093,2.39463,0.009208,0.009208,0.009208
10,152.031,1.59742,2.45718,1.83357,0.55419,0.06354,0.04214,0.02281,2.22928,4.60122,2.66659,0.009109,0.009109,0.009109
11,166.178,1.58155,2.402,1.80988,0.22805,0.26426,0.12882,0.06333,1.88132,3.53818,2.34072,0.00901,0.00901,0.00901
12,180.223,1.57375,2.43325,1.83005,0.65435,0.23574,0.29602,0.13316,1.77434,2.77824,2.12916,0.008911,0.008911,0.008911
13,194.839,1.53353,2.38396,1.81438,0.31386,0.21672,0.11475,0.05579,2.11634,4.00115,2.89676,0.008812,0.008812,0.008812
14,209.242,1.53413,2.31939,1.79195,0.50392,0.31843,0.3356,0.16424,1.79865,2.70407,2.16691,0.008713,0.008713,0.008713
15,223.581,1.52762,2.28974,1.76776,0.71653,0.20923,0.26128,0.13047,1.88182,2.73403,2.17994,0.008614,0.008614,0.008614
16,237.503,1.50738,2.27258,1.77652,0.3285,0.36088,0.28744,0.13878,1.73715,3.17549,2.08202,0.008515,0.008515,0.008515
17,251.803,1.47866,2.25244,1.75119,0.34176,0.34484,0.28661,0.1363,1.78061,2.58279,2.11257,0.008416,0.008416,0.008416
18,265.332,1.48636,2.19561,1.73993,0.31923,0.28858,0.17103,0.086,1.81516,3.5843,2.27814,0.008317,0.008317,0.008317
19,279.211,1.46295,2.17713,1.72531,0.56365,0.33086,0.41169,0.20298,1.67139,2.34855,2.0225,0.008218,0.008218,0.008218
20,293.984,1.46715,2.20375,1.73051,0.32579,0.38149,0.29373,0.13531,1.80231,2.49485,2.1396,0.008119,0.008119,0.008119
21,308.073,1.44407,2.16383,1.71641,0.39812,0.45456,0.4063,0.20251,1.66359,2.24216,1.99738,0.00802,0.00802,0.00802
22,322.432,1.41165,2.08298,1.68326,0.46508,0.42366,0.46219,0.24401,1.57638,2.04678,1.90339,0.007921,0.007921,0.007921
23,337.531,1.41057,2.06429,1.68276,0.50932,0.3692,0.41342,0.22727,1.62717,2.22979,1.95579,0.007822,0.007822,0.007822
24,351.881,1.40538,2.07774,1.68552,0.45303,0.40299,0.39027,0.2107,1.63709,2.40426,1.95544,0.007723,0.007723,0.007723
25,366.24,1.39545,2.05137,1.67712,0.53333,0.33631,0.36479,0.19043,1.6492,2.4319,2.01679,0.007624,0.007624,0.007624
26,381.004,1.39681,2.014,1.64829,0.53308,0.39031,0.38187,0.20303,1.65734,2.30852,2.01844,0.007525,0.007525,0.007525
27,394.825,1.36239,1.98156,1.64203,0.56746,0.46582,0.4935,0.2743,1.51066,2.05483,1.82614,0.007426,0.007426,0.007426
28,409.49,1.34014,1.92864,1.62748,0.5829,0.40654,0.4347,0.23416,1.6416,2.26743,1.96071,0.007327,0.007327,0.007327
29,423.518,1.37662,1.94476,1.64749,0.55216,0.41413,0.44843,0.23879,1.59772,2.21748,1.97648,0.007228,0.007228,0.007228
30,438.145,1.32792,1.95312,1.62567,0.53111,0.4811,0.51477,0.28842,1.54871,2.02202,1.87546,0.007129,0.007129,0.007129
31,452.763,1.36173,1.9141,1.63545,0.50835,0.4487,0.46052,0.26589,1.52678,2.01722,1.88133,0.00703,0.00703,0.00703
32,467.375,1.3601,1.92382,1.62897,0.49993,0.50147,0.5181,0.27835,1.52313,2.10229,1.81743,0.006931,0.006931,0.006931
33,481.311,1.3179,1.88151,1.59229,0.61135,0.47597,0.50172,0.27375,1.53565,1.92584,1.86797,0.006832,0.006832,0.006832
34,495.573,1.31549,1.87758,1.60289,0.5928,0.42019,0.47143,0.25877,1.51496,2.09111,1.83249,0.006733,0.006733,0.006733
35,509.621,1.3248,1.86467,1.60888,0.56021,0.50288,0.53348,0.31114,1.44503,1.87329,1.77986,0.006634,0.006634,0.006634
36,524.808,1.29152,1.76959,1.58158,0.55114,0.56103,0.56695,0.31827,1.43744,1.78038,1.76605,0.006535,0.006535,0.006535
