name,precision,recall,mAP50,mAP50_95,params_M,flops_G,fps
YOLO26n (Baseline),0.8828,0.837,0.9022,0.7007,2.51,5.91,87.37
YOLO11n (Baseline),0.8797,0.7683,0.853,0.6306,2.59,6.51,98.31
YOLOv8n (Baseline),0.8264,0.7052,0.7876,0.538,3.01,8.2,113.27
RT-DETR-l,0.8868,0.8639,0.8997,0.6983,32.82,109.92,16.5
CBAM,0.8278,0.7272,0.8106,0.5669,2.44,5.78,59.92
WeightedFusion (All),0.8876,0.8232,0.8796,0.6652,2.42,5.78,49.46
Exp1 (F2 weighted),0.7687,0.667,0.749,0.4924,2.51,5.91,55.06
Exp2 (F1 weighted),0.7127,0.6798,0.7308,0.4898,2.51,5.91,54.93
Exp3 (F3 weighted),0.7007,0.6668,0.7338,0.4864,2.51,5.91,55.49
Exp4 (F4 weighted),0.7525,0.6917,0.7587,0.5049,2.51,5.91,63.35
