epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9229,3.0509,4.61888,0.0596,0.00041,0.12541,0.00035,8e-05,2.9783,4.87069,0.07857,0.000329365,0.000329365,0.0673929
2,63.8381,2.46068,4.19804,0.04674,0.00859,0.35105,0.00459,0.00117,2.35759,4.47943,0.05754,0.000656138,0.000656138,0.0343863
3,96.2784,2.28695,3.96694,0.04228,0.53389,0.02387,0.02073,0.00547,2.36621,4.35837,0.05761,0.00097631,0.00097631,0.00137314
4,128.577,2.14505,3.80435,0.03929,0.36831,0.05799,0.04011,0.01223,2.3574,4.21407,0.05794,0.0009703,0.0009703,0.0009703
5,161.895,2.04443,3.68196,0.03573,0.34611,0.11755,0.05733,0.0163,2.22999,4.01797,0.05465,0.0009604,0.0009604,0.0009604
6,194.799,1.97406,3.5386,0.03448,0.3789,0.11129,0.06986,0.02241,2.2428,3.89971,0.05396,0.0009505,0.0009505,0.0009505
7,227.074,1.91282,3.43246,0.03265,0.37195,0.16975,0.1459,0.0539,2.0701,3.48867,0.04901,0.0009406,0.0009406,0.0009406
8,260.881,1.84906,3.3309,0.03136,0.31662,0.166,0.12527,0.04856,2.01533,3.44374,0.04818,0.0009307,0.0009307,0.0009307
9,293.549,1.80089,3.21304,0.03059,0.34395,0.22019,0.15035,0.05683,1.97302,3.37311,0.04587,0.0009208,0.0009208,0.0009208
10,326.004,1.74051,3.13954,0.02896,0.36781,0.23214,0.18847,0.08187,1.82972,3.2167,0.04232,0.0009109,0.0009109,0.0009109
11,358.683,1.71993,3.08153,0.02865,0.46763,0.28355,0.25046,0.10821,1.83373,3.0416,0.04206,0.000901,0.000901,0.000901
12,390.466,1.69449,3.03494,0.02796,0.40822,0.25415,0.2169,0.09511,1.84015,3.08166,0.04257,0.0008911,0.0008911,0.0008911
13,421.494,1.65891,2.93852,0.02792,0.4877,0.29161,0.27999,0.1332,1.83216,2.85536,0.0425,0.0008812,0.0008812,0.0008812
14,452.819,1.64507,2.88017,0.0272,0.47747,0.31212,0.30045,0.14405,1.77085,2.85292,0.04046,0.0008713,0.0008713,0.0008713
15,484.161,1.63902,2.84623,0.02777,0.48974,0.35216,0.32877,0.15412,1.78701,2.73355,0.04135,0.0008614,0.0008614,0.0008614
16,515.397,1.64615,2.795,0.0274,0.48151,0.31504,0.31244,0.1554,1.70717,2.70061,0.03913,0.0008515,0.0008515,0.0008515
17,546.539,1.62682,2.76465,0.02705,0.36229,0.32731,0.30886,0.14556,1.79186,2.71998,0.04146,0.0008416,0.0008416,0.0008416
18,577.156,1.62393,2.6969,0.02706,0.51872,0.35254,0.3724,0.1772,1.80725,2.56662,0.04229,0.0008317,0.0008317,0.0008317
19,608.459,1.60005,2.66555,0.0266,0.41211,0.35097,0.36649,0.186,1.75044,2.53586,0.04059,0.0008218,0.0008218,0.0008218
20,640.401,1.5814,2.63006,0.02659,0.50742,0.38803,0.39795,0.20519,1.70281,2.48114,0.03854,0.0008119,0.0008119,0.0008119
21,671.852,1.57979,2.55756,0.02661,0.49358,0.39372,0.39633,0.19801,1.71813,2.44787,0.0398,0.000802,0.000802,0.000802
